Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
USA,1/1/2000,12/31/2002,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,149,E,
USA,1/1/2001,12/31/2003,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,149,E,
USA,1/1/2002,12/31/2004,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,150,E,
USA,1/1/2003,12/31/2005,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,151,E,
USA,1/1/2004,12/31/2006,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,151,E,
USA,1/1/2005,12/31/2007,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,150,E,
USA,1/1/2006,12/31/2008,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,149,E,
USA,1/1/2007,12/31/2009,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,147,E,
USA,1/1/2008,12/31/2010,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,146,E,
USA,1/1/2009,12/31/2011,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,145,E,
USA,1/1/2010,12/31/2012,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,147,E,
USA,1/1/2011,12/31/2013,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,147,E,
USA,1/1/2012,12/31/2014,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,147,E,
USA,1/1/2013,12/31/2015,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,147,E,
USA,1/1/2014,12/31/2016,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,147,E,
USA,1/1/2015,12/31/2017,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,148,E,
USA,1/1/2016,12/31/2018,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,149,E,
USA,1/1/2017,12/31/2019,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,150,E,
USA,1/1/2018,12/31/2020,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,151,E,
USA,1/1/2019,12/31/2021,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,152,E,
USA,1/1/2020,12/31/2022,231,'840,United States of America,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,153,E,
USA,1/1/2000,12/31/2002,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20002002,2002,%,25,E,
USA,1/1/2001,12/31/2003,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20012003,2003,%,25,E,
USA,1/1/2002,12/31/2004,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20022004,2004,%,24,E,
USA,1/1/2003,12/31/2005,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20032005,2005,%,24,E,
USA,1/1/2004,12/31/2006,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20042006,2006,%,24,E,
USA,1/1/2005,12/31/2007,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20052007,2007,%,24,E,
USA,1/1/2006,12/31/2008,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20062008,2008,%,24,E,
USA,1/1/2007,12/31/2009,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20072009,2009,%,25,E,
USA,1/1/2008,12/31/2010,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20082010,2010,%,25,E,
USA,1/1/2009,12/31/2011,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20092011,2011,%,24,E,
USA,1/1/2010,12/31/2012,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20102012,2012,%,24,E,
USA,1/1/2011,12/31/2013,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20112013,2013,%,24,E,
USA,1/1/2012,12/31/2014,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20122014,2014,%,24,E,
USA,1/1/2013,12/31/2015,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20132015,2015,%,24,E,
USA,1/1/2014,12/31/2016,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20142016,2016,%,24,E,
USA,1/1/2015,12/31/2017,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20152017,2017,%,24,E,
USA,1/1/2016,12/31/2018,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20162018,2018,%,24,E,
USA,1/1/2017,12/31/2019,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20172019,2019,%,24,E,
USA,1/1/2018,12/31/2020,231,'840,United States of America,21012,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",6121,Value,20182020,2020,%,24,E,
USA,1/1/2000,12/31/2002,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,113.3,E,
USA,1/1/2001,12/31/2003,231,'840,United States of America,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,113.3,E,
